,person_id,age,citizen_status,nativity_status,weekly_hours_worked,total_income,self_employed_income,wage_income,interest_income,other_income,marital_status,school_status,sex,when_last_worked,worked_last_week,language,race_native_american,race_asian,race_black,race_native_hawaiian,race_pacific_islander,race_white,race_other,household_id,Predicted_uninsured,Prediction_prob
31,158,60,citizen_birth,native_born,60,140182.0,89.0,90053.0,50000.0,40.0,married,not_student,M,in_last_year,worked,English,0,0,0,0,0,1,0,80,0,0.056710761130012305
32,160,29,citizen_birth,native_born,50,31231.0,12.0,31081.0,73.0,65.0,married,not_student,M,in_last_year,worked,English,0,0,0,0,0,1,0,82,0,0.48229344473156416
33,161,28,citizen_birth,native_born,50,142.0,71.0,0.0,18.0,53.0,married,not_student,F,in_last_year,worked,English,0,0,0,0,0,1,0,82,1,0.5240928987906324
34,163,77,noncitizen,foreign_born,0,20116.0,18.0,6.0,80.0,20012.0,divorced,not_student,M,over_five_years_ago,did_not_work,Spanish,0,0,0,0,0,0,1,83,1,0.8968920710523105
35,164,39,citizen_birth,native_born,40,35231.0,78.0,35054.0,66.0,33.0,never_married,not_student,M,in_last_year,worked,English,0,0,0,0,0,1,0,84,0,0.4553504503603262
36,165,41,citizen_birth,native_born,40,21247.0,44.0,21096.0,95.0,12.0,divorced,not_student,M,in_last_year,worked,English,0,0,0,0,0,1,0,84,0,0.4516441096178495
37,172,38,citizen_birth,native_born,40,110135.0,25.0,110010.0,97.0,3.0,married,not_student,F,in_last_year,worked,English,0,0,0,0,0,1,0,86,0,0.08027512323894269
38,173,33,citizen_naturalized,foreign_born,90,275269.0,98.0,275011.0,61.0,99.0,married,not_student,M,in_last_year,worked,Serbian,0,0,0,0,0,1,0,86,0,0.019187108868992934
39,192,62,citizen_birth,native_born,20,7395.0,31.0,5059.0,76.0,2229.0,married,not_student,M,in_last_year,worked,English,0,0,0,0,0,1,0,92,0,0.47553262465523755
40,193,57,citizen_birth,native_born,20,25078.0,25006.0,8.0,58.0,6.0,married,public_school,F,in_last_year,worked,English,0,0,0,0,0,1,0,92,0,0.18258184132536132
41,216,63,citizen_birth,native_born,0,26553.0,48.0,5.0,71.0,26429.0,married,not_student,M,over_five_years_ago,did_not_work,English,0,0,0,0,0,1,0,100,0,0.35812733621503534
42,217,61,citizen_birth,native_born,0,154.0,1.0,46.0,71.0,36.0,married,not_student,F,over_five_years_ago,did_not_work,English,0,0,0,0,0,1,0,100,0,0.37671476825255834
43,218,23,citizen_birth,native_born,0,171.0,96.0,9.0,44.0,22.0,never_married,not_student,F,in_last_five_years,did_not_work,English,0,0,0,0,0,1,0,100,1,0.5399832505976603
44,219,27,citizen_birth,native_born,80,25290.0,27.0,25088.0,89.0,86.0,married,not_student,F,in_last_year,worked,English,0,0,0,0,0,1,0,101,0,0.4152184135355157
45,226,60,citizen_birth,native_born,42,77549.0,25100.0,52032.0,360.0,57.0,married,not_student,M,in_last_year,worked,English,0,0,0,0,0,1,0,103,0,0.1800443860907695
46,227,62,citizen_birth,native_born,20,49969.0,41.0,43320.0,6593.0,15.0,married,not_student,F,in_last_year,worked,English,0,0,0,0,0,1,0,103,0,0.17790605569098
47,232,94,citizen_birth,native_born,0,12206.0,95.0,54.0,239.0,11818.0,widowed,not_student,F,over_five_years_ago,did_not_work,English,0,0,0,0,0,1,0,105,0,0.3140297941705294
48,240,75,citizen_birth,native_born,0,29920.0,20.0,36.0,6093.0,23771.0,never_married,not_student,M,over_five_years_ago,did_not_work,English,0,0,0,0,0,1,0,110,0,0.337202524234487
49,245,62,citizen_birth,native_born,40,105272.0,86.0,45037.0,60066.0,83.0,never_married,not_student,M,in_last_year,worked,English,0,0,0,0,0,1,0,112,0,0.11899691363971167
50,254,34,citizen_birth,native_born,0,177.0,33.0,41.0,23.0,80.0,never_married,not_student,M,over_five_years_ago,did_not_work,English,0,0,1,0,0,0,0,116,1,0.6816673643685164
51,270,52,citizen_birth,native_born,50,5463.0,0.0,536.0,97.0,4830.0,never_married,not_student,M,in_last_year,did_not_work,English,0,0,0,0,0,1,0,124,1,0.5778108411277212
52,275,30,citizen_birth,native_born,40,27237.0,57.0,27050.0,38.0,92.0,never_married,not_student,F,in_last_year,worked,English,0,0,1,0,0,0,0,127,0,0.45915004116101904
53,277,49,citizen_birth,native_born,50,98160.0,30.0,98075.0,39.0,16.0,married,not_student,F,in_last_year,worked,English,0,0,0,0,0,1,0,128,0,0.09099489494448355
54,278,51,citizen_birth,native_born,40,55239.0,19.0,52096.0,66.0,3058.0,married,not_student,M,in_last_year,worked,English,0,0,0,0,0,1,0,128,0,0.28527539751299413
55,279,21,citizen_birth,native_born,40,55245.0,66.0,55048.0,77.0,54.0,never_married,not_student,M,in_last_year,not_reported,English,0,0,0,0,0,1,0,128,0,0.41002936069161655
56,297,51,citizen_birth,native_born,0,202.0,27.0,12.0,100.0,63.0,never_married,not_student,M,over_five_years_ago,did_not_work,English,0,0,0,0,0,1,0,135,1,0.5725975998155444
57,302,65,citizen_birth,native_born,0,9727.0,51.0,30.0,8.0,9638.0,widowed,not_student,F,over_five_years_ago,did_not_work,English,0,0,0,0,0,1,0,138,0,0.41792917590305717
58,303,60,citizen_birth,native_born,40,41875.0,53.0,41696.0,92.0,34.0,separated,not_student,M,in_last_year,worked,English,0,0,0,0,0,1,0,138,0,0.3857918876995512
59,307,35,citizen_birth,native_born,40,35103.0,4.0,35033.0,4.0,62.0,married,not_student,F,in_last_year,worked,Spanish,0,0,0,0,0,1,0,141,0,0.3139269958249716
60,308,33,noncitizen,foreign_born,50,17198.0,50.0,10017.0,69.0,7062.0,married,not_student,M,in_last_year,worked,English,0,0,0,0,0,1,0,141,1,0.9444078968564413
61,316,53,citizen_birth,native_born,0,10120.0,2.0,84.0,63.0,9971.0,widowed,not_student,F,in_last_five_years,did_not_work,English,0,0,0,0,0,1,0,144,0,0.4562128411946354
62,323,46,citizen_birth,native_born,35,70695.0,95.0,70090.0,92.0,418.0,married,not_student,F,in_last_year,worked,English,1,0,0,0,0,1,0,146,0,0.152701785894918
63,324,49,citizen_birth,native_born,50,158241.0,62.0,158081.0,14.0,84.0,married,not_student,M,in_last_year,worked,Irish Gaelic,0,0,0,0,0,1,0,146,0,0.043961218801001144
64,330,27,citizen_birth,native_born,40,52110.0,30021.0,22018.0,33.0,38.0,married,not_student,M,in_last_year,worked,English,0,0,0,0,0,1,0,148,0,0.3722041695233652
65,331,28,citizen_birth,native_born,60,47950.0,97.0,47716.0,86.0,51.0,married,not_student,F,in_last_year,worked,English,0,0,0,0,0,1,0,148,0,0.28835226662788405
66,332,20,citizen_birth,native_born,20,6410.0,0.0,6271.0,73.0,66.0,never_married,public_school,M,in_last_year,worked,English,0,0,0,0,0,1,0,148,1,0.5173382108459382
67,339,56,citizen_birth,native_born,60,40098.0,40003.0,73.0,22.0,0.0,married,not_student,M,in_last_year,worked,English,0,0,0,0,0,1,0,152,0,0.3540088410940734
68,340,56,citizen_birth,native_born,60,40130.0,6.0,40026.0,98.0,0.0,married,not_student,F,in_last_year,worked,English,0,0,0,0,0,1,0,152,0,0.24638119765678207
69,366,47,citizen_birth,native_born,55,121252.0,34.0,121034.0,85.0,99.0,married,not_student,M,in_last_year,worked,English,0,0,0,0,0,1,0,164,0,0.09614829394987177
70,367,48,citizen_birth,native_born,35,50276.0,90.0,50034.0,56.0,96.0,married,not_student,F,in_last_year,worked,English,0,0,0,0,0,1,0,164,0,0.21396041152210235
71,372,59,citizen_birth,native_born,0,20247.0,54.0,28.0,86.0,20079.0,married,not_student,F,over_five_years_ago,did_not_work,Other Indo-European languages,0,0,0,0,0,1,0,167,0,0.2872361554674648
72,373,63,citizen_birth,native_born,24,36103.0,5.0,15630.0,18.0,20450.0,married,not_student,M,in_last_year,did_not_work,English,0,0,0,0,0,1,0,167,0,0.3278410071506832
73,375,18,citizen_birth,native_born,40,6365.0,85.0,6211.0,38.0,31.0,never_married,public_school,M,in_last_year,did_not_work,English,0,0,0,0,0,1,0,169,1,0.5391769215297223
74,386,31,citizen_naturalized,foreign_born,39,59258.0,71.0,59056.0,68.0,63.0,married,not_student,F,in_last_year,worked,Polish,0,0,0,0,0,1,0,177,1,0.5194190585257145
75,387,31,citizen_naturalized,foreign_born,55,67094.0,23.0,67003.0,65.0,3.0,married,not_student,M,in_last_year,worked,Polish,0,0,0,0,0,1,0,177,1,0.615924418995241
76,388,59,citizen_naturalized,foreign_born,30,18202.0,20.0,18073.0,57.0,52.0,married,not_student,M,in_last_year,worked,Urdu,0,1,0,0,0,0,0,178,1,0.74479299641601
77,389,59,citizen_naturalized,foreign_born,40,35223.0,20.0,35096.0,76.0,31.0,married,not_student,F,in_last_year,worked,Urdu,0,1,0,0,0,0,0,178,1,0.5543605265159433
78,390,30,citizen_birth,native_born,20,23191.0,3028.0,20051.0,65.0,47.0,never_married,public_school,M,in_last_year,worked,Urdu,0,1,0,0,0,0,0,178,0,0.3951489866481354
79,391,25,citizen_birth,native_born,40,30193.0,35.0,30018.0,45.0,95.0,never_married,public_school,M,in_last_year,worked,Urdu,0,1,0,0,0,0,0,178,0,0.38964948479130807
80,420,94,citizen_birth,native_born,0,15819.0,55.0,91.0,25.0,15648.0,widowed,not_student,F,over_five_years_ago,not_reported,English,0,0,0,0,0,1,0,191,0,0.29751708284357087
81,431,30,citizen_naturalized,foreign_born,39,13599.0,9.0,13415.0,88.0,87.0,married,not_student,F,in_last_year,not_reported,Lithuanian,0,0,0,0,0,1,0,197,1,0.7454754053468478
82,432,38,citizen_birth,native_born,40,111371.0,40.0,110002.0,1230.0,99.0,never_married,not_student,M,in_last_year,worked,English,0,0,0,0,0,1,0,198,0,0.14124211632691966
83,433,37,citizen_birth,native_born,30,24199.0,68.0,24026.0,25.0,80.0,never_married,not_student,M,in_last_year,worked,English,0,0,0,0,0,1,0,198,1,0.5140429174401392
84,434,28,citizen_birth,native_born,40,32237.0,42.0,32052.0,67.0,76.0,never_married,not_student,F,in_last_year,worked,English,0,0,0,0,0,1,0,198,0,0.3822545819358023
85,458,31,citizen_birth,native_born,41,52224.0,11.0,52061.0,90.0,62.0,separated,not_student,M,in_last_year,worked,English,0,0,0,0,0,1,0,208,0,0.42843373940250806
86,465,36,citizen_birth,native_born,40,98258.0,55.0,98100.0,45.0,58.0,married,not_student,M,in_last_year,worked,English,0,0,0,0,0,1,0,213,0,0.16251381020089908
87,466,35,citizen_birth,native_born,0,280.0,79.0,66.0,50.0,85.0,married,not_student,F,in_last_five_years,did_not_work,English,0,0,0,0,0,1,0,213,0,0.46242534000979774
88,470,84,citizen_birth,native_born,0,17105.0,7.0,97.0,81.0,16920.0,divorced,not_student,M,over_five_years_ago,did_not_work,English,0,0,0,0,0,1,0,215,0,0.3075357887744361
89,474,59,citizen_birth,native_born,40,55246.0,53.0,55064.0,44.0,85.0,widowed,not_student,M,in_last_year,worked,English,0,0,1,0,0,0,0,217,0,0.4111982754296219
90,475,27,citizen_birth,native_born,6,1807.0,69.0,1140.0,94.0,504.0,never_married,not_student,F,in_last_year,worked,English,0,0,1,0,0,0,0,217,1,0.5803080790860417
91,485,25,citizen_birth,native_born,30,16235.0,15067.0,81.0,1086.0,1.0,never_married,not_student,M,in_last_year,worked,English,0,0,0,0,0,1,0,221,1,0.5967230490087465
92,486,24,citizen_birth,native_born,50,40274.0,42.0,40080.0,74.0,78.0,never_married,not_student,M,in_last_year,worked,English,0,0,0,0,0,1,0,221,0,0.4867955092715228
93,487,23,citizen_birth,native_born,60,70191.0,13.0,70086.0,41.0,51.0,never_married,not_student,M,in_last_year,worked,English,0,0,0,0,0,1,0,221,0,0.3421496267549159
94,488,68,citizen_birth,native_born,0,40846.0,27.0,63.0,226.0,40530.0,married,not_student,F,over_five_years_ago,did_not_work,English,0,0,1,0,0,0,0,222,0,0.22450108453690534
95,489,71,citizen_birth,native_born,0,55555.0,4.0,91.0,1000.0,54460.0,married,not_student,M,in_last_five_years,not_reported,English,0,0,0,0,0,1,0,222,0,0.21124013912906944
96,492,89,citizen_birth,native_born,0,18387.0,44.0,11.0,94.0,18238.0,divorced,not_student,F,in_last_five_years,not_reported,English,0,0,0,0,0,1,0,224,0,0.19411046502375484
97,496,57,citizen_birth,native_born,4,948.0,81.0,823.0,25.0,19.0,married,not_student,M,in_last_year,worked,English,0,0,0,0,0,1,0,227,1,0.5154498285511377
98,497,55,citizen_birth,native_born,7,1362.0,22.0,1190.0,56.0,94.0,married,not_student,F,in_last_year,worked,English,0,0,0,0,0,1,0,227,0,0.3949160268636279
99,500,53,citizen_birth,native_born,40,65129.0,65037.0,36.0,26.0,30.0,married,not_student,M,in_last_year,worked,English,0,0,0,0,0,1,0,229,0,0.2388902941779213
100,508,53,citizen_birth,native_born,40,70219.0,57.0,70066.0,0.0,96.0,married,not_student,M,in_last_year,worked,English,0,0,0,0,0,1,0,233,0,0.21953431427260983
101,509,56,citizen_birth,native_born,40,24189.0,6.0,24042.0,75.0,66.0,married,not_student,F,in_last_year,worked,English,0,0,0,0,0,1,0,233,0,0.3027889171445263
102,510,22,citizen_birth,native_born,0,202.0,19.0,95.0,10.0,78.0,never_married,not_student,M,in_last_five_years,did_not_work,English,0,0,0,0,0,1,0,233,1,0.6657756120925296
103,511,77,citizen_birth,native_born,0,5219.0,23.0,37.0,91.0,5068.0,married,not_student,F,over_five_years_ago,did_not_work,English,0,0,0,0,0,1,0,233,0,0.30333935889743535
104,512,76,citizen_birth,native_born,0,1492.0,34.0,36.0,9.0,1413.0,married,not_student,M,over_five_years_ago,did_not_work,English,0,0,0,0,0,1,0,233,0,0.4448118273111125
105,520,45,citizen_birth,native_born,0,226.0,33.0,28.0,88.0,77.0,married,not_student,M,in_last_five_years,did_not_work,English,0,0,0,0,0,1,0,237,1,0.557160721329762
106,521,47,citizen_birth,native_born,0,849.0,54.0,20.0,36.0,739.0,married,not_student,F,over_five_years_ago,did_not_work,English,0,0,0,0,0,1,0,237,0,0.4189755833014922
107,522,21,citizen_birth,native_born,0,135.0,32.0,2.0,80.0,21.0,separated,not_student,M,in_last_five_years,did_not_work,English,0,0,0,0,0,1,0,237,1,0.7002791527746823
108,523,64,citizen_birth,native_born,0,12201.0,54.0,67.0,43.0,12037.0,widowed,not_student,F,over_five_years_ago,did_not_work,English,0,0,0,0,0,1,0,237,0,0.4083291070713359
109,581,22,citizen_birth,native_born,40,7162.0,35.0,7045.0,74.0,8.0,never_married,not_student,F,in_last_year,worked,English,0,0,0,0,0,1,0,267,1,0.5354536789132411
110,587,77,citizen_birth,native_born,0,12253.0,92.0,35.0,30.0,12096.0,widowed,not_student,F,over_five_years_ago,not_reported,English,0,0,0,0,0,1,0,271,0,0.36590612394502897
111,601,85,citizen_birth,native_born,0,10315.0,69.0,98.0,66.0,10082.0,married,not_student,M,over_five_years_ago,did_not_work,English,0,0,0,0,0,1,0,276,0,0.36940723756536964
112,602,78,citizen_birth,native_born,0,44425.0,50.0,3.0,8139.0,36233.0,married,not_student,F,over_five_years_ago,did_not_work,English,0,0,0,0,0,1,0,276,0,0.15585538017364733
113,605,62,citizen_birth,native_born,0,60174.0,86.0,4.0,9.0,60075.0,married,not_student,M,in_last_five_years,did_not_work,English,0,0,0,0,0,1,0,278,0,0.21520619772937455
114,606,64,citizen_birth,native_born,0,39134.0,38.0,55.0,16.0,39025.0,married,not_student,F,in_last_five_years,did_not_work,English,0,0,0,0,0,1,0,278,0,0.2003744467384201
115,631,58,citizen_birth,native_born,0,50563.0,72.0,26.0,27.0,50438.0,divorced,not_student,F,in_last_five_years,did_not_work,English,0,0,0,0,0,1,0,289,0,0.1554652294984236
116,632,34,citizen_birth,native_born,40,14264.0,54.0,14095.0,70.0,45.0,never_married,not_student,M,in_last_year,did_not_work,English,0,0,0,0,0,1,0,289,1,0.584391208460934
117,633,47,citizen_birth,native_born,40,49140.0,2.0,49076.0,43.0,19.0,married,not_student,M,in_last_year,worked,English,0,0,0,0,0,1,0,290,0,0.32467042637601334
118,634,45,citizen_birth,native_born,40,20196.0,44.0,20029.0,90.0,33.0,married,not_student,F,in_last_year,worked,English,0,0,0,0,0,1,0,290,0,0.35489290737229984
119,664,32,citizen_birth,native_born,0,23311.0,46.0,92.0,97.0,23076.0,separated,not_student,F,in_last_five_years,did_not_work,Spanish,0,0,0,0,0,1,0,302,0,0.4214633568847196
120,667,71,citizen_birth,native_born,0,38061.0,92.0,98.0,16373.0,21498.0,married,not_student,M,over_five_years_ago,did_not_work,English,0,0,0,0,0,1,0,303,0,0.28074951546651866
121,668,71,citizen_birth,native_born,0,17674.0,77.0,82.0,91.0,17424.0,married,not_student,F,over_five_years_ago,did_not_work,English,0,0,0,0,0,1,0,303,0,0.26549856042992587
122,669,23,citizen_birth,native_born,40,18781.0,69.0,18575.0,38.0,99.0,never_married,not_student,M,in_last_year,worked,English,0,0,0,0,0,1,0,303,1,0.5972505613508283
123,678,48,citizen_birth,native_born,45,60219.0,95.0,60036.0,2.0,86.0,married,not_student,F,in_last_year,worked,English,0,0,0,0,0,1,0,307,0,0.18457258368850807
124,679,51,citizen_birth,native_born,45,54216.0,53.0,54092.0,70.0,1.0,married,not_student,M,in_last_year,worked,English,0,0,0,0,0,1,0,307,0,0.29285002170780877
125,696,40,citizen_birth,native_born,50,73175.0,100.0,73029.0,7.0,39.0,married,not_student,M,in_last_year,worked,English,0,0,0,0,0,1,0,312,0,0.24516776424137937
126,697,39,citizen_birth,native_born,40,95155.0,74.0,95073.0,0.0,8.0,married,not_student,F,in_last_year,worked,English,0,0,0,0,0,1,0,312,0,0.10624242930221207
127,706,70,citizen_birth,native_born,0,60215.0,62.0,35.0,5100.0,55018.0,married,not_student,M,in_last_five_years,did_not_work,English,1,0,0,0,0,1,0,314,0,0.19716044597968796
128,707,66,citizen_birth,native_born,0,18575.0,55.0,65.0,370.0,18085.0,married,not_student,F,over_five_years_ago,did_not_work,English,0,0,0,0,0,1,0,314,0,0.2751613819321697
129,718,39,citizen_birth,native_born,43,15129.0,5.0,15017.0,95.0,12.0,divorced,not_student,M,in_last_year,worked,English,0,0,0,0,0,1,0,320,0,0.4934933943101304
130,719,52,citizen_birth,native_born,40,40149.0,7.0,40036.0,82.0,24.0,divorced,not_student,M,in_last_year,not_reported,English,0,0,0,0,0,1,0,321,0,0.3204867897549008
131,720,65,citizen_birth,native_born,0,6620.0,67.0,91.0,88.0,6374.0,divorced,not_student,M,over_five_years_ago,did_not_work,English,0,0,1,0,0,0,0,322,0,0.4774971910998584
132,721,46,citizen_birth,native_born,0,147.0,7.0,50.0,23.0,67.0,married,not_student,F,over_five_years_ago,did_not_work,English,0,0,0,0,0,1,0,323,0,0.42600138161637874
133,722,43,citizen_birth,native_born,55,115305.0,51.0,115061.0,93.0,100.0,married,not_student,M,in_last_year,worked,English,0,0,0,0,0,1,0,323,0,0.11324704703243003
134,723,23,citizen_birth,native_born,50,17744.0,75.0,17505.0,92.0,72.0,never_married,not_student,M,in_last_year,worked,English,0,0,0,0,0,1,0,323,1,0.6096911787677559
135,727,22,citizen_birth,native_born,42,70241.0,63.0,70085.0,34.0,59.0,married,not_student,M,in_last_year,worked,English,0,0,0,0,0,1,0,325,0,0.30176999846522445
136,728,23,citizen_birth,native_born,0,132.0,7.0,38.0,36.0,51.0,married,not_student,F,in_last_five_years,did_not_work,English,0,0,0,0,0,1,0,325,1,0.5041871925257769
137,730,19,citizen_birth,native_born,31,3647.0,76.0,3521.0,37.0,13.0,never_married,public_school,M,in_last_year,did_not_work,English,0,0,0,0,0,1,0,326,1,0.5436847694791505
138,737,69,citizen_birth,native_born,0,19369.0,6.0,36.0,57.0,19270.0,divorced,not_student,F,over_five_years_ago,did_not_work,English,0,0,0,0,0,1,0,330,0,0.23665775031991626
139,738,40,citizen_birth,native_born,40,27251.0,94.0,27099.0,13.0,45.0,never_married,not_student,F,in_last_year,worked,English,0,0,0,0,0,1,0,331,0,0.3689405288631231
140,741,56,citizen_birth,native_born,0,20029.0,14.0,60.0,87.0,19868.0,never_married,not_student,F,over_five_years_ago,did_not_work,English,0,0,1,0,0,0,1,333,0,0.451447692826195
141,745,53,citizen_birth,native_born,60,100212.0,11.0,100075.0,86.0,40.0,never_married,not_student,F,in_last_year,worked,English,0,0,1,0,0,0,0,337,0,0.12020268824935651
142,751,42,citizen_birth,native_born,60,110169.0,56.0,110070.0,22.0,21.0,married,not_student,M,in_last_year,worked,English,0,0,0,0,0,1,0,340,0,0.12798587778298726
143,752,37,citizen_birth,native_born,0,316.0,90.0,44.0,83.0,99.0,married,not_student,F,over_five_years_ago,did_not_work,English,0,0,0,0,0,1,0,340,0,0.45543973663433895
144,782,33,citizen_birth,native_born,40,54254.0,88.0,54070.0,38.0,58.0,divorced,not_student,F,in_last_year,worked,English,0,0,0,0,0,1,0,351,0,0.2122804668218292
145,784,47,citizen_birth,native_born,45,75172.0,5.0,75045.0,58.0,64.0,divorced,not_student,M,in_last_year,worked,English,0,0,0,0,0,1,0,351,0,0.1942693117160651
146,786,64,citizen_birth,native_born,40,42205.0,84.0,42001.0,39.0,81.0,never_married,not_student,M,in_last_year,worked,English,0,0,0,0,0,1,0,353,0,0.33822308844647914
147,792,88,citizen_birth,native_born,0,82637.0,11.0,77.0,50086.0,32463.0,widowed,not_student,M,over_five_years_ago,did_not_work,English,0,0,0,0,0,1,0,357,0,0.15445267071296068
148,793,54,citizen_birth,native_born,60,70254.0,88.0,70037.0,100.0,29.0,married,not_student,M,in_last_year,worked,English,0,0,0,0,0,1,0,358,0,0.2273224693881481
149,794,53,citizen_birth,native_born,50,55120.0,28.0,55034.0,49.0,9.0,married,not_student,F,in_last_year,worked,English,0,0,0,0,0,1,0,358,0,0.1931875655819691
150,800,63,citizen_birth,native_born,38,43625.0,91.0,32080.0,21.0,11433.0,never_married,not_student,M,in_last_year,worked,English,0,0,0,0,0,1,0,361,0,0.3331316461566363
